subscriber_id,plan,monthly_price,channel,cohort_month,activity_month,month_number,is_active
SUB0001,Pro,79,Organic Search,2023-03,2023-03,0,1
SUB0001,Pro,79,Organic Search,2023-03,2023-04,1,1
SUB0001,Pro,79,Organic Search,2023-03,2023-05,2,1
SUB0001,Pro,79,Organic Search,2023-03,2023-06,3,1
SUB0002,Pro,79,Paid Ads,2023-12,2023-12,0,1
SUB0002,Pro,79,Paid Ads,2023-12,2024-01,1,1
SUB0002,Pro,79,Paid Ads,2023-12,2024-02,2,1
SUB0002,Pro,79,Paid Ads,2023-12,2024-03,3,1
SUB0002,Pro,79,Paid Ads,2023-12,2024-04,4,1
SUB0002,Pro,79,Paid Ads,2023-12,2024-05,5,1
SUB0002,Pro,79,Paid Ads,2023-12,2024-06,6,1
SUB0002,Pro,79,Paid Ads,2023-12,2024-07,7,1
SUB0002,Pro,79,Paid Ads,2023-12,2024-08,8,1
SUB0002,Pro,79,Paid Ads,2023-12,2024-09,9,1
SUB0002,Pro,79,Paid Ads,2023-12,2024-10,10,1
SUB0002,Pro,79,Paid Ads,2023-12,2024-11,11,1
SUB0002,Pro,79,Paid Ads,2023-12,2024-12,12,1
SUB0003,Basic,29,Organic Search,2023-09,2023-09,0,1
SUB0003,Basic,29,Organic Search,2023-09,2023-10,1,1
SUB0003,Basic,29,Organic Search,2023-09,2023-11,2,1
SUB0003,Basic,29,Organic Search,2023-09,2023-12,3,1
SUB0003,Basic,29,Organic Search,2023-09,2024-01,4,1
SUB0003,Basic,29,Organic Search,2023-09,2024-02,5,1
SUB0003,Basic,29,Organic Search,2023-09,2024-03,6,1
SUB0004,Pro,79,Direct,2023-07,2023-07,0,1
SUB0004,Pro,79,Direct,2023-07,2023-08,1,1
SUB0004,Pro,79,Direct,2023-07,2023-09,2,1
SUB0004,Pro,79,Direct,2023-07,2023-10,3,1
SUB0004,Pro,79,Direct,2023-07,2023-11,4,1
SUB0004,Pro,79,Direct,2023-07,2023-12,5,1
SUB0004,Pro,79,Direct,2023-07,2024-01,6,1
SUB0004,Pro,79,Direct,2023-07,2024-02,7,1
SUB0004,Pro,79,Direct,2023-07,2024-03,8,1
SUB0004,Pro,79,Direct,2023-07,2024-04,9,1
SUB0004,Pro,79,Direct,2023-07,2024-05,10,1
SUB0004,Pro,79,Direct,2023-07,2024-06,11,1
SUB0004,Pro,79,Direct,2023-07,2024-07,12,1
SUB0004,Pro,79,Direct,2023-07,2024-08,13,1
SUB0004,Pro,79,Direct,2023-07,2024-09,14,1
SUB0004,Pro,79,Direct,2023-07,2024-10,15,1
SUB0004,Pro,79,Direct,2023-07,2024-11,16,1
SUB0004,Pro,79,Direct,2023-07,2024-12,17,1
SUB0005,Basic,29,Social Media,2022-10,2022-10,0,1
SUB0005,Basic,29,Social Media,2022-10,2022-11,1,1
SUB0005,Basic,29,Social Media,2022-10,2022-12,2,1
SUB0005,Basic,29,Social Media,2022-10,2023-01,3,1
SUB0005,Basic,29,Social Media,2022-10,2023-02,4,1
SUB0005,Basic,29,Social Media,2022-10,2023-03,5,1
SUB0005,Basic,29,Social Media,2022-10,2023-04,6,1
SUB0005,Basic,29,Social Media,2022-10,2023-05,7,1
SUB0005,Basic,29,Social Media,2022-10,2023-06,8,1
SUB0005,Basic,29,Social Media,2022-10,2023-07,9,1
SUB0005,Basic,29,Social Media,2022-10,2023-08,10,1
SUB0005,Basic,29,Social Media,2022-10,2023-09,11,1
